Id,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
2972,Dec,2,Tuesday,Mazda,Urban,Tuesday,Dec,2,Female,Single,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2972,6,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
2973,Dec,2,Sunday,Chevrolet,Urban,Wednesday,Dec,2,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2973,8,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
2974,Apr,3,Monday,Honda,Urban,Wednesday,May,2,Male,Married,30,Policy Holder,Sport - Collision,Sport,more than 69000,1,2974,6,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
2975,Dec,1,Tuesday,Toyota,Urban,Wednesday,Dec,2,Male,Married,36,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,2975,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
2976,Oct,1,Monday,Chevrolet,Urban,Tuesday,Oct,1,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2976,14,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
2977,Sep,1,Sunday,Mazda,Urban,Tuesday,Sep,1,Male,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2977,2,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
2978,Sep,1,Saturday,Toyota,Urban,Wednesday,Sep,2,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2978,4,400,4,15 to 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
2979,Aug,5,Tuesday,Pontiac,Urban,Monday,Sep,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2979,14,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
2980,Apr,2,Monday,Toyota,Urban,Monday,May,1,Male,Married,65,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2980,10,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
2981,Mar,1,Thursday,Chevrolet,Urban,Friday,Mar,1,Male,Married,56,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2981,12,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2982,Dec,3,Wednesday,VW,Urban,Saturday,Dec,3,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2982,16,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
2983,Dec,1,Tuesday,Honda,Urban,Friday,Dec,4,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2983,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils
2984,Jan,2,Monday,Toyota,Urban,Wednesday,Feb,1,Male,Single,23,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2984,15,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
2985,Aug,2,Wednesday,Mazda,Rural,Wednesday,Mar,1,Male,Single,27,Policy Holder,Sport - Collision,Sport,more than 69000,0,2985,3,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
2986,Mar,1,Wednesday,Chevrolet,Urban,Friday,Mar,1,Female,Married,46,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,2986,4,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
2987,Feb,4,Friday,Chevrolet,Urban,Wednesday,Mar,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,2987,1,400,1,none,8 to 15,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
2988,Mar,2,Friday,Pontiac,Urban,Monday,Mar,5,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2988,2,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
2989,Apr,2,Monday,Toyota,Urban,Wednesday,Apr,3,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2989,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
2990,Sep,5,Friday,Mazda,Urban,Monday,Oct,1,Male,Married,30,Third Party,Sedan - Liability,Sport,20000 to 29000,0,2990,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
2991,May,5,Saturday,Honda,Urban,Monday,May,5,Male,Married,61,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2991,11,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2992,Mar,2,Saturday,Toyota,Urban,Monday,Mar,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2992,5,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
2993,Jul,1,Tuesday,Honda,Urban,Wednesday,Jul,1,Male,Single,62,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,2993,9,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
2994,Oct,5,Saturday,Mazda,Rural,Wednesday,Nov,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2994,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,Collision
2995,Nov,2,Friday,Mazda,Urban,Friday,Nov,2,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2995,16,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision
2996,Apr,4,Tuesday,VW,Urban,Tuesday,Apr,4,Female,Married,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2996,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
2997,May,2,Thursday,Pontiac,Rural,Tuesday,May,3,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2997,16,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2998,May,1,Friday,Pontiac,Rural,Friday,May,1,Male,Married,64,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,2998,7,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
2999,May,1,Tuesday,Pontiac,Urban,Wednesday,May,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2999,10,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3000,Apr,3,Wednesday,Pontiac,Urban,Thursday,May,2,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,3000,2,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3001,Jun,1,Thursday,Mazda,Urban,Friday,Jun,2,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3001,3,400,2,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
3002,May,4,Tuesday,Toyota,Rural,Thursday,May,4,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3002,11,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3003,Jun,3,Thursday,Chevrolet,Rural,Thursday,Jun,5,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3003,4,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3004,Jun,5,Tuesday,Mazda,Urban,Wednesday,Jun,5,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3004,1,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,1 year,2 vehicles,1994,Liability
3005,Jul,5,Sunday,Mazda,Urban,Thursday,Aug,1,Male,Married,56,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3005,16,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3006,Aug,5,Sunday,Honda,Urban,Thursday,Sep,1,Male,Married,54,Policy Holder,Sport - Collision,Sport,more than 69000,0,3006,5,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3007,Aug,4,Saturday,Mazda,Urban,Tuesday,Aug,5,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3007,16,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3008,Aug,4,Thursday,Pontiac,Urban,Tuesday,Sep,1,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3008,13,700,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3009,Sep,4,Wednesday,Accura,Urban,Wednesday,Sep,4,Male,Married,42,Third Party,Sedan - Liability,Sport,20000 to 29000,0,3009,4,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3010,Sep,3,Sunday,Pontiac,Urban,Monday,Sep,3,Male,Single,23,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3010,13,400,4,more than 30,more than 30,none,5 years,26 to 30,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,All Perils
3011,Apr,3,Wednesday,Pontiac,Urban,Monday,May,2,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,3011,10,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3012,Oct,1,Sunday,Ford,Urban,Wednesday,Oct,1,Male,Married,66,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,3012,15,400,1,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
3013,Oct,4,Saturday,Honda,Rural,Thursday,Oct,4,Male,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3013,13,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3014,Nov,3,Wednesday,Accura,Urban,Thursday,Nov,4,Male,Married,46,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3014,7,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3015,May,3,Tuesday,Mazda,Urban,Tuesday,May,3,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3015,8,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3016,Jun,1,Tuesday,Pontiac,Urban,Tuesday,Jun,1,Female,Single,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3016,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3017,Sep,4,Friday,Toyota,Urban,Saturday,Sep,4,Male,Married,76,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,3017,2,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
3018,Aug,4,Monday,Toyota,Urban,Wednesday,Aug,4,Male,Married,30,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3018,8,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3019,May,1,Friday,Honda,Urban,Monday,May,2,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3019,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3020,Jul,3,Tuesday,Pontiac,Urban,Wednesday,Jul,3,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3020,10,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3021,Jul,2,Tuesday,Mazda,Urban,Wednesday,Jul,2,Male,Married,71,Third Party,Sedan - Collision,Sedan,more than 69000,0,3021,8,400,1,more than 30,more than 30,none,6 years,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
3022,Sep,1,Saturday,Chevrolet,Urban,Tuesday,Sep,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3022,15,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3023,Aug,5,Tuesday,Mazda,Urban,Tuesday,Aug,5,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3023,15,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
3024,Aug,5,Wednesday,Toyota,Urban,Thursday,Sep,1,Female,Single,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3024,1,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3025,Aug,3,Friday,Chevrolet,Urban,Monday,Sep,1,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3025,8,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
3026,Dec,2,Saturday,Toyota,Urban,Wednesday,Dec,5,Male,Single,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3026,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3027,Nov,5,Tuesday,Honda,Urban,Tuesday,Nov,5,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3027,1,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3028,Aug,4,Friday,Toyota,Urban,Monday,Sep,2,Male,Single,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3028,12,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3029,Aug,3,Monday,Mazda,Urban,Wednesday,Sep,1,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3029,2,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3030,Aug,3,Tuesday,Toyota,Urban,Thursday,Sep,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3030,7,400,3,more than 30,more than 30,none,4 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision
3031,Sep,2,Tuesday,Mercury,Urban,Tuesday,Sep,2,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3031,2,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3032,Sep,3,Thursday,Mazda,Urban,Thursday,Sep,3,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3032,13,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
3033,Apr,4,Thursday,Chevrolet,Urban,Friday,Jul,1,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,3033,10,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3034,Sep,5,Friday,Honda,Urban,Monday,Oct,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3034,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3035,Sep,4,Wednesday,Mazda,Urban,Thursday,Sep,5,Female,Married,31,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3035,9,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,All Perils
3036,Sep,3,Friday,Pontiac,Rural,Friday,Sep,4,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3036,16,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3037,Dec,1,Sunday,Honda,Urban,Tuesday,Dec,1,Male,Married,53,Policy Holder,Sport - Collision,Sport,more than 69000,0,3037,10,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3038,Apr,4,Friday,Toyota,Urban,Tuesday,Apr,4,Male,Married,39,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3038,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3039,Oct,1,Thursday,Chevrolet,Urban,Friday,Oct,1,Female,Married,47,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,3039,8,700,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3040,Sep,2,Friday,Pontiac,Urban,Monday,Sep,2,Male,Married,63,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3040,3,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3041,Sep,2,Friday,Mazda,Urban,Friday,Sep,2,Female,Single,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3041,12,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3042,Apr,4,Friday,Honda,Urban,Tuesday,Apr,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,3042,9,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
3043,Sep,2,Thursday,Ford,Urban,Monday,Sep,2,Male,Married,71,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,3043,3,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3044,Sep,1,Wednesday,Mazda,Urban,Thursday,Sep,2,Female,Single,44,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3044,8,400,2,more than 30,more than 30,none,more than 7,36 to 40,Yes,No,Internal,3 to 5,no change,1 vehicle,1994,Liability
3045,Apr,4,Friday,Honda,Urban,Tuesday,Apr,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,3045,2,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
3046,Aug,2,Friday,Pontiac,Urban,Tuesday,Aug,4,Male,Single,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3046,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
3047,May,3,Friday,Mazda,Urban,Wednesday,Sep,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3047,1,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3048,May,1,Wednesday,Chevrolet,Urban,Wednesday,May,1,Male,Married,62,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3048,10,400,2,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
3049,Dec,3,Monday,Pontiac,Urban,Thursday,Dec,4,Male,Single,18,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3049,8,400,3,more than 30,more than 30,2 to 4,4 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3050,Sep,3,Thursday,Honda,Urban,Wednesday,Sep,4,Female,Single,40,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,3050,2,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3051,Sep,3,Thursday,Honda,Urban,Thursday,Sep,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3051,4,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3052,Sep,2,Saturday,Pontiac,Urban,Monday,Sep,2,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3052,12,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3053,Jul,4,Tuesday,Mazda,Urban,Monday,Aug,1,Male,Single,26,Third Party,Sport - Collision,Sport,more than 69000,0,3053,2,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3054,Apr,4,Friday,Pontiac,Urban,Friday,Jun,3,Male,Single,25,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,3054,6,400,4,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
3055,Jun,4,Tuesday,Honda,Urban,Monday,Jul,3,Female,Single,21,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3055,1,400,1,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3056,Feb,3,Friday,Mazda,Urban,Wednesday,Feb,4,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3056,12,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3057,Feb,3,Thursday,Pontiac,Urban,Friday,Mar,2,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3057,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3058,Jan,2,Sunday,Pontiac,Urban,Thursday,May,4,Male,Married,32,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,3058,8,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,All Perils
3059,Jul,3,Monday,Pontiac,Urban,Monday,Jul,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3059,16,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3060,May,2,Sunday,Toyota,Urban,Monday,May,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3060,12,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3061,Apr,5,Sunday,Pontiac,Urban,Tuesday,May,1,Male,Married,76,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3061,6,500,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
3062,Apr,4,Friday,Toyota,Rural,Tuesday,May,1,Male,Married,73,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3062,13,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
3063,Apr,5,Saturday,Mazda,Urban,Monday,May,2,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3063,10,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3064,Apr,4,Thursday,Toyota,Urban,Monday,May,1,Male,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3064,14,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3065,Apr,4,Saturday,Accura,Urban,Tuesday,May,1,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3065,11,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3066,Apr,4,Sunday,Accura,Rural,Wednesday,May,1,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3066,14,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3067,Apr,4,Saturday,Chevrolet,Urban,Wednesday,Apr,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3067,3,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision
3068,Apr,3,Tuesday,Mazda,Urban,Tuesday,May,1,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3068,8,400,2,more than 30,more than 30,1,6 years,41 to 50,Yes,No,External,none,no change,1 vehicle,1994,Collision
3069,Dec,5,Wednesday,Pontiac,Urban,Monday,Jan,1,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3069,2,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1994,Collision
3070,Dec,4,Friday,Chevrolet,Urban,Friday,Dec,4,Male,Married,41,Policy Holder,Utility - All Perils,Utility,more than 69000,0,3070,4,700,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
3071,Dec,4,Thursday,Honda,Urban,Wednesday,Dec,5,Male,Married,33,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3071,3,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3072,Dec,2,Tuesday,Pontiac,Urban,Tuesday,Dec,3,Female,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3072,13,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3073,Dec,2,Monday,Mazda,Urban,Friday,Dec,4,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3073,8,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3074,Oct,3,Monday,Toyota,Urban,Monday,Oct,3,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3074,5,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3075,Sep,4,Monday,Toyota,Urban,Thursday,Sep,5,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3075,4,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
